date,nav
2007-05-20,7.66563
2007-05-27,7.68095
2007-06-03,7.70392
2007-06-10,7.71924
2007-06-17,7.73455
2007-06-24,7.82645
2007-07-02,7.80347
2007-07-08,7.84176
2007-07-15,7.90303
2007-07-22,7.94898
2007-07-29,7.94898
2007-08-05,7.89537
2007-08-11,7.91069
2007-08-19,7.84942
2007-08-26,7.81879
2007-09-02,7.88006
2007-09-09,8.01024
2007-09-16,8.10214
2007-09-23,8.17106
2007-09-30,8.14042
2007-10-16,8.21722
2007-10-21,8.25562
2007-10-28,8.3017
2007-11-04,8.36313
2007-11-11,8.29402
2007-11-19,8.36313
2007-11-20,8.39385
2007-11-21,8.39385
2007-11-26,8.43993
2007-11-27,8.44761
2007-11-28,8.43225
2007-12-02,8.43225
2007-12-03,8.44761
2007-12-04,8.43225
2007-12-05,8.44761
2007-12-09,8.48601
2007-12-10,8.49369
2007-12-11,8.42457
2007-12-12,8.39385
2007-12-16,8.43225
2007-12-17,8.44761
2007-12-23,8.45529
2007-12-24,8.50905
2007-12-25,8.57816
2007-12-26,8.60888
2007-12-30,8.62424
2007-12-31,8.67844
2008-01-01,8.61656
2008-01-02,8.61656
2008-01-08,8.77899
2008-01-14,8.89501
2008-01-15,8.87181
2008-01-16,8.88728
2008-01-20,8.83314
2008-01-21,8.76352
2008-01-23,8.57015
2008-01-27,8.61656
2008-02-02,8.71711
2008-02-10,8.70164
2008-02-12,8.6475
2008-02-13,8.74805
2008-02-17,8.70164
2008-02-20,8.80993
2008-02-24,8.88728
2008-02-25,8.92595
2008-02-26,8.94916
2008-02-27,8.9801
2008-03-02,9.01877
2008-03-03,9.11159
2008-03-04,9.06518
2008-03-05,9.158
2008-03-09,9.21987
2008-03-10,9.23535
2008-03-11,9.21214
2008-03-12,9.24308
2008-03-16,9.29722
2008-03-17,9.30496
2008-03-18,9.20441
2008-03-23,9.1812
2008-03-24,9.21987
2008-03-25,9.1812
2008-03-26,9.21214
2008-03-30,9.23535
2008-03-31,8.96463
2008-04-01,9.25081
2008-04-02,9.28175
2008-04-06,9.28951
2008-04-07,9.33607
2008-04-08,9.37488
2008-04-09,9.4292
2008-04-13,9.46025
2008-04-14,9.43696
2008-04-16,9.43696
2008-04-20,9.4292
2008-04-21,9.47577
2008-04-22,9.47577
2008-04-23,9.45248
2008-04-29,9.40592
2008-05-04,9.45248
2008-05-05,9.50681
2008-05-06,9.50681
2008-05-07,9.46801
2008-05-11,9.26623
2008-05-12,9.26623
2008-05-13,9.15758
2008-05-14,9.03341
2008-05-18,8.80059
2008-05-19,8.96356
2008-05-20,9.04117
2008-05-21,9.07221
2008-05-25,9.14982
2008-05-26,9.27399
2008-05-27,9.30503
2008-05-28,9.36712
2008-06-01,9.3904
2008-06-02,9.4292
2008-06-03,9.36712
2008-06-04,9.32831
2008-06-07,8.92476
2008-06-08,9.3904
2008-06-10,9.31279
2008-06-11,9.26623
2008-06-15,9.28951
2008-06-16,9.31279
2008-06-17,9.31279
2008-06-18,9.25847
2008-06-22,9.15758
