date,nav
2005-08-04,30.66589
2005-08-11,30.45365
2005-08-18,29.95514
2005-08-25,30.27102
2005-09-01,30.6264
2005-09-08,31.54445
2005-09-15,31.53951
2005-09-22,32.43289
2005-09-29,34.68853
2005-10-05,34.31341
2005-10-13,34.85635
2005-10-20,34.36771
2005-10-27,34.04688
2005-11-01,35.04391
2005-11-10,36.62335
2005-11-17,35.17224
2005-11-24,34.47136
2005-12-01,34.65398
2005-12-08,36.76155
2005-12-15,36.71713
2005-12-22,37.10705
2005-12-29,37.04783
2006-01-05,39.09404
2006-01-12,40.4976
2006-01-19,41.47444
2006-01-26,43.03738
2006-02-02,42.31246
2006-02-09,42.405
2006-02-16,39.66472
2006-02-23,40.9706
2006-03-02,41.25336
2006-03-09,40.13257
2006-03-16,39.04777
2006-03-23,39.14031
2006-03-30,39.05805
2006-04-06,40.96545
2006-04-13,39.60817
2006-04-20,39.14545
2006-04-27,38.9398
2006-05-04,39.54133
2006-05-11,38.44624
2006-05-18,38.70845
2006-05-25,35.46432
2006-06-01,36.74449
2006-06-08,36.72393
2006-06-15,34.73427
2006-06-22,35.00161
2006-06-29,34.55432
2006-07-06,36.54642
2006-07-13,35.22308
2006-07-20,34.82822
2006-07-27,36.18357
2006-08-03,37.16006
2006-08-10,37.09069
2006-08-17,37.06935
2006-08-24,37.94445
2006-08-31,38.64347
2006-09-07,38.37667
2006-09-14,39.10237
2006-09-21,40.51108
2006-09-28,40.76721
2006-10-05,40.66049
2006-10-12,41.29014
2006-10-26,41.95181
2006-11-09,41.29014
2006-11-16,41.47156
2006-11-26,42.53877
2006-11-30,42.2026
2006-12-18,42.97099
2006-12-21,42.91229
2006-12-28,43.30182
2007-01-14,43.22712
2007-01-22,42.58146
2007-01-28,41.63698
2007-02-05,41.34884
2007-02-11,41.5516
2007-02-18,42.53343
2007-02-25,42.53877
2007-03-04,42.40003
2007-03-11,43.68068
2007-03-18,44.5131
2007-03-25,43.58463
2007-04-08,43.36585
2007-04-09,43.36585
2007-04-15,43.77139
2007-04-22,44.03819
2007-04-29,44.45974
2007-05-06,44.83326
2007-05-13,45.9645
2007-05-20,45.79908
2007-05-27,46.00185
2007-06-03,46.84494
2007-06-10,46.94099
2007-06-17,47.55463
2007-06-24,48.4244
2007-07-02,47.79475
2007-07-08,48.46709
2007-07-15,49.45425
2007-07-22,49.36888
2007-07-29,49.18745
2007-08-12,48.968
2007-08-19,47.80155
2007-08-26,47.42043
2007-09-02,48.48871
2007-09-09,49.73601
2007-09-16,50.60219
2007-09-23,51.09303
2007-09-30,51.24894
2007-10-16,52.0747
2007-10-21,52.60018
2007-10-28,53.33932
2007-11-04,54.16507
2007-11-11,53.60495
2007-11-12,53.98606
2007-11-19,54.23437
2007-11-20,54.53465
2007-11-21,54.37873
2007-11-22,54.71366
2007-11-26,54.63859
2007-11-27,54.62126
2007-11-28,54.59239
2007-11-29,54.51155
2007-12-02,54.5231
2007-12-03,54.7714
2007-12-04,54.70211
2007-12-05,54.92731
2007-12-06,55.04858
2007-12-09,55.34885
2007-12-10,55.57406
2007-12-11,54.75408
2007-12-12,54.32676
2007-12-13,54.37873
2007-12-16,54.55774
2007-12-17,54.62126
2007-12-23,54.62704
2007-12-24,55.18717
2007-12-25,55.53364
2007-12-26,55.81082
2007-12-27,55.47012
2007-12-30,55.96095
2007-12-31,55.88011
2008-01-01,55.93208
2008-01-02,55.93208
2008-01-03,56.65967
2008-01-08,57.52585
2008-01-10,57.99359
2008-01-14,59.1023
2008-01-15,58.87709
2008-01-16,58.98681
2008-01-20,58.444
2008-01-23,54.45041
2008-01-24,55.83045
2008-01-27,55.34805
2008-02-02,56.11745
2008-02-10,55.48849
2008-02-12,54.66414
2008-02-13,54.41378
2008-02-14,54.67635
2008-02-17,55.29309
2008-02-18,56.1663
2008-02-20,56.58764
2008-02-21,56.838
2008-02-24,57.26545
2008-02-25,57.68679
2008-02-26,58.09591
2008-02-27,58.38902
