date,nav
2025-09-20,10.17039
2025-09-21,10.17562
2025-09-22,10.18086
2025-09-24,10.19132
2025-09-27,10.20701
2025-09-28,10.2122
2025-09-29,10.21743
2025-09-30,10.22266
2025-10-01,10.22711
2025-10-04,10.2428
2025-10-05,10.24803
2025-10-06,10.25323
2025-10-07,10.25845
2025-10-11,10.27934
2025-10-12,10.28455
2025-10-13,10.28974
2025-10-14,10.29497
2025-10-15,10.29289
2025-10-18,10.30915
2025-10-19,10.31433
2025-10-20,10.31949
2025-10-21,10.32452
2025-10-22,10.32974
2025-10-25,10.34584
2025-10-26,10.35122
2025-10-27,10.35659
2025-10-28,10.36197
2025-10-29,10.36736
2025-11-01,10.38349
2025-11-04,10.39933
2025-11-05,10.4042
2025-11-08,10.4188
2025-11-09,10.42366
2025-11-10,10.42852
2025-11-11,10.43337
2025-11-12,10.43823
2025-11-15,10.45283
2025-11-16,10.4577
2025-11-17,10.46256
2025-11-18,10.46743
2025-11-19,10.47227
2025-11-22,10.48667
2025-11-23,10.49154
2025-11-24,10.49642
2025-11-25,10.50128
2025-11-26,10.50615
2025-11-29,10.52073
2025-11-30,10.5256
2025-12-01,10.53048
2025-12-02,10.53531
2025-12-03,10.54016
2025-12-06,10.55474
2025-12-07,10.55959
2025-12-08,10.56445
2025-12-09,10.56931
2025-12-10,10.57418
2025-12-13,10.58877
2025-12-14,10.59359
2025-12-15,10.59842
2025-12-16,10.62541
2025-12-17,10.63021
2025-12-20,10.64484
2025-12-21,10.64973
2025-12-22,10.65462
2025-12-23,10.65952
2025-12-24,10.66435
2025-12-27,10.67886
2025-12-28,10.68369
2025-12-29,10.68857
2025-12-30,10.69354
2026-01-03,10.7135
2026-01-04,10.71828
2026-01-05,10.72329
2026-01-07,10.73331
2026-01-10,10.74843
2026-01-11,10.75349
2026-01-12,10.75851
2026-01-13,10.76336
2026-01-14,10.76828
2026-01-17,10.78336
2026-01-18,10.78839
2026-01-19,10.79342
2026-01-20,10.79826
2026-01-24,10.81864
2026-01-25,10.82359
2026-01-26,10.8301
2026-01-27,10.8361
2026-01-31,10.85335
2026-02-01,10.85837
2026-02-02,10.86338
2026-02-03,10.86776
2026-02-04,10.87277
2026-02-07,10.88722
2026-02-08,10.89223
2026-02-09,10.89722
2026-02-10,10.90491
2026-02-11,10.9099
2026-02-14,10.92489
2026-02-15,10.9299
2026-02-16,10.9349
2026-02-17,10.93989
2026-02-18,10.94483
2026-02-21,10.95981
2026-02-22,10.9648
2026-02-23,10.96979
2026-02-24,10.97474
2026-02-25,10.97974
2026-02-28,10.99877
2026-03-01,11.00375
2026-03-02,11.00876
2026-03-03,11.01376
2026-03-04,11.01871
2026-03-07,11.03357
2026-03-08,11.0385
2026-03-09,11.04343
2026-03-10,11.0483
2026-03-11,11.0533
2026-03-14,11.06823
2026-03-15,11.0732
2026-03-16,11.07818
2026-03-17,11.08313
2026-03-23,11.11283
2026-03-24,11.11764
2026-03-25,11.12314
2026-03-28,11.13787
2026-03-29,11.14279
2026-03-30,11.14768
2026-03-31,11.15981
2026-04-01,11.1645
2026-04-04,11.17932
2026-04-05,11.18427
2026-04-06,11.1892
2026-04-07,11.1942
2026-04-08,11.19918
2026-04-13,11.22438
2026-04-14,11.2294
2026-04-15,11.23445
2026-04-18,11.24958
2026-04-20,11.25956
2026-04-21,11.26451
2026-04-22,11.26936
2026-04-25,11.28406
2026-04-26,11.28895
2026-04-27,11.29385
2026-04-28,11.2987
2026-04-29,11.30368
2026-05-02,11.3186
2026-05-03,11.32372
2026-05-04,11.32867
