date,nav
2015-02-14,100.87
2015-02-21,101.02
2015-03-14,101.47
2015-03-28,101.78
2015-04-04,101.93
2015-04-13,102.13
2015-04-18,102.24
2015-04-25,102.39
2015-05-02,102.54
2015-05-10,102.66
2015-05-16,102.81
2015-05-23,102.96
2015-05-30,103.11
2015-06-06,103.27
2015-06-13,103.42
2015-06-20,103.57
2015-06-27,103.72
2015-07-04,103.88
2015-07-11,104.02
2015-07-20,104.21
2015-07-25,104.32
2015-08-01,104.47
2015-08-08,104.62
2015-08-16,104.77
2015-08-22,104.91
2015-08-29,105.06
2015-09-06,105.21
2015-09-13,105.36
2015-09-19,105.51
2015-09-27,105.68
2015-10-03,105.81
2015-10-10,105.96
2015-10-17,106.11
2015-10-24,106.25
2015-10-31,106.4
2015-11-07,106.56
2015-11-14,106.71
2015-11-21,106.86
2015-11-28,107.02
2015-12-05,107.18
2015-12-12,107.33
2015-12-19,107.49
2015-12-26,107.65
2016-01-03,107.8
2016-01-10,107.96
2016-01-16,108.11
2016-01-24,108.27
2016-01-30,108.43
2016-02-07,108.58
2016-02-13,108.74
2016-02-21,108.89
2016-03-05,109.21
2016-03-12,109.37
2016-03-19,109.53
2016-03-27,109.69
2016-04-02,109.68
2016-04-09,110.05
2016-04-16,110.22
2016-04-23,110.39
2016-05-02,110.61
2016-05-07,110.76
2016-05-14,110.93
2016-05-21,111.11
2016-05-28,111.28
2016-06-05,111.45
2016-06-11,111.62
2016-06-25,111.97
2016-07-02,112.16
2016-07-09,112.35
2016-07-16,112.52
2016-07-23,112.7
2016-07-30,112.87
2016-08-06,113.06
2016-08-13,113.24
2016-08-20,113.41
2016-08-27,113.59
2016-09-03,113.77
2016-09-18,114.11
2016-09-24,114.28
2016-10-02,114.46
2016-10-08,114.64
2016-10-15,114.82
2016-10-22,114.99
2016-10-29,115.16
2016-11-05,115.37
2016-11-12,115.61
2016-11-19,115.85
2016-11-26,116.1
2016-12-03,116.38
2016-12-11,116.67
2016-12-17,116.89
2016-12-24,117.15
2016-12-31,117.45
2017-01-01,117.45
2017-01-07,117.68
2017-01-14,117.95
2017-01-21,118.21
2017-01-29,118.48
2017-02-04,118.76
2017-02-11,119.02
2017-02-19,119.29
2017-02-25,119.56
2017-03-04,119.83
2017-03-11,120.1
2017-03-18,120.26
2017-03-25,120.66
2017-04-01,120.94
2017-04-08,121.24
2017-04-18,121.41
2017-04-22,121.62
2017-04-29,121.91
2017-05-06,122.23
2017-05-13,122.51
2017-05-21,122.8
2017-05-28,123.09
2017-06-01,123.38
2017-06-10,123.69
2017-06-17,123.99
2017-06-27,124.41
2017-07-01,124.6
2017-07-09,124.92
2017-07-15,125.23
2017-07-24,125.59
2017-07-29,125.86
2017-08-05,126.2
2017-08-12,126.52
2017-08-19,126.86
2017-08-27,127.22
2017-09-04,127.68
2017-09-09,127.9
2017-09-16,128.25
2017-09-23,128.56
2017-09-30,128.91
2017-10-07,129.25
2017-10-14,129.65
2017-10-21,130.14
2017-10-28,130.63
2017-11-04,131.2
2017-11-11,131.59
2017-11-19,131.94
2017-11-25,132.73
2017-12-02,134.71
2017-12-09,135.23
2017-12-16,135.67
2017-12-23,136.25
2017-12-30,136.85
2017-12-31,136.95
2018-01-08,137.19
2018-01-13,137.49
2018-01-20,137.49
2018-01-27,138.27
2018-02-03,138.74
2018-02-10,139.1
2018-02-17,139.46
2018-02-24,139.81
2018-03-03,140.17
2018-03-10,140.61
2018-03-17,141.02
2018-03-24,141.42
2018-03-31,141.81
2018-04-10,142.28
2018-04-14,142.54
2018-04-21,142.91
2018-04-28,143.28
2018-05-05,143.64
2018-05-12,144.01
2018-05-19,144.38
2018-05-26,144.75
2018-06-02,145.11
2018-06-09,145.48
2018-06-18,145.96
2018-06-21,146.22
2018-07-01,146.65
2018-07-07,146.97
2018-07-14,147.34
2018-07-21,147.71
