date,nav
2012-03-11,100.2443
2012-03-22,100.6065
2012-04-01,100.7955
2012-04-08,100.9911
2012-04-17,101.249
2012-04-22,101.3926
2012-04-29,101.6139
2012-05-06,101.8147
2012-05-13,102.0153
2012-05-20,102.2158
2012-05-27,102.4176
2012-06-03,102.6166
2012-06-10,102.8195
2012-06-17,103.0546
2012-06-24,103.2312
2012-07-03,103.4665
2012-07-08,103.6443
2012-07-15,103.856
2012-07-22,103.856
2012-07-24,104.0714
2012-07-29,104.2883
2012-08-05,104.5074
2012-08-12,104.7271
2012-08-13,104.7579
2012-08-26,105.1603
2012-09-02,105.3783
2012-09-09,105.5979
2012-09-16,105.8198
2012-09-23,106.42
2012-09-25,106.042
2012-09-30,106.2658
2012-10-08,106.5592
2012-10-14,106.7463
2012-10-21,106.98
2012-10-29,107.2474
2012-11-04,107.4454
2012-11-11,107.6736
2012-11-18,107.4919
2012-11-25,108.108
2012-12-02,108.3251
2012-12-16,108.7658
2012-12-23,108.9816
2012-12-30,109.2013
2012-12-31,109.263
2013-01-06,109.4156
2013-01-13,109.6287
2013-01-20,109.8427
2013-01-27,110.0563
2013-02-03,110.2694
2013-02-10,110.4826
2013-02-17,110.6976
2013-02-24,110.9133
2013-03-03,111.1268
2013-03-10,111.3405
2013-03-17,111.5527
2013-03-24,111.7645
2013-03-31,111.9775
2013-04-28,112.8353
2013-05-07,113.1116
2013-05-12,113.2653
2013-05-19,113.4895
2013-05-26,113.6936
2013-06-02,113.9083
2013-06-09,114.1224
2013-06-16,114.3373
2013-06-23,114.5537
2013-07-14,115.2008
2013-07-21,115.4189
2013-07-28,115.6367
2013-08-04,115.8564
2013-08-12,116.1075
2013-08-19,116.2952
2013-08-25,116.5162
2013-09-01,116.7379
2013-09-08,116.9538
2013-09-15,117.1698
2013-09-22,117.3858
2013-09-29,117.5985
2013-10-07,117.8422
2013-10-13,118.021
2013-10-20,118.229
2013-10-27,118.4362
2013-11-03,118.6442
2013-11-10,118.8501
2013-11-17,119.0532
2013-12-01,119.458
