date,nav
2009-09-15,100.0
2009-09-22,100.15
2009-09-26,100.24
2009-10-03,100.37
2009-10-11,100.5
2009-10-18,100.63
2009-10-24,100.75
2009-10-31,100.87
2009-11-07,100.89
2009-11-14,101.08
2009-11-21,101.18
2009-11-29,101.3
2009-12-05,101.39
2009-12-12,101.51
2009-12-19,101.62
2009-12-26,101.73
2010-01-02,101.82
2010-01-09,101.94
2010-01-16,102.1
2010-01-23,102.26
2010-01-30,102.4
2010-02-06,102.55
2010-02-13,102.7
2010-02-20,102.83
2010-02-27,102.97
2010-03-06,103.11
2010-03-13,103.24
2010-03-20,103.38
2010-03-27,103.52
2010-04-05,103.71
2010-04-10,103.82
2010-04-17,103.98
2010-05-01,104.28
2010-05-08,104.42
2010-05-15,104.57
2010-05-22,104.67
2010-05-29,104.82
2010-06-05,104.96
2010-06-12,105.1
2010-06-19,105.25
2010-06-26,105.4
2010-07-03,105.51
2010-07-05,105.53
2010-07-06,105.55
2010-07-07,105.57
2010-07-08,105.59
2010-07-12,105.67
2010-07-13,105.69
2010-07-15,105.73
2010-07-17,105.79
2010-07-25,105.93
2010-07-31,106.07
2010-08-07,106.21
2010-08-14,106.35
2010-08-28,106.63
2010-09-04,106.81
2010-09-12,107.0
2010-09-18,107.15
2010-09-25,107.31
2010-10-02,107.47
2010-10-09,107.62
2010-10-16,107.78
2010-10-23,107.95
2010-10-30,108.07
2010-11-07,108.25
2010-11-13,108.39
2010-11-20,108.51
2010-11-27,108.67
2010-12-04,108.86
2010-12-11,109.01
2010-12-18,109.18
2010-12-25,109.23
2011-01-01,109.55
2011-01-09,109.71
2011-01-15,109.86
2011-01-22,110.02
2011-02-12,110.32
2011-02-26,110.62
2011-03-05,110.8
2011-03-12,110.99
2011-03-19,111.2
2011-03-26,111.45
2011-04-02,111.67
2011-04-09,111.83
2011-04-16,112.0
2011-04-25,112.21
2011-05-01,112.35
2011-05-08,112.49
2011-05-14,112.65
2011-05-21,112.82
2011-05-28,112.99
2011-06-04,113.15
2011-06-11,113.32
2011-06-18,113.47
2011-06-25,113.7
2011-07-03,113.89
2011-07-09,114.05
2011-07-16,114.21
2011-07-25,114.42
2011-07-31,114.57
2011-08-06,114.75
2011-08-14,114.9
2011-08-20,115.06
2011-09-03,115.46
2011-09-10,115.66
2011-09-17,115.83
2011-09-24,116.0
2011-10-01,116.23
2011-10-08,116.45
2011-10-16,116.66
2011-10-22,116.87
2011-10-29,117.01
2011-11-08,117.22
2011-11-12,117.35
2011-11-19,117.62
2011-11-27,117.89
2011-12-03,118.12
2011-12-10,118.34
2011-12-17,118.61
2011-12-24,118.82
2012-01-01,119.63
2012-01-08,119.84
2012-01-14,120.02
2012-01-21,120.23
2012-01-28,120.44
2012-02-05,120.68
2012-02-11,120.87
2012-02-18,121.09
2012-02-25,121.31
2012-03-03,121.54
2012-03-10,121.8
2012-03-17,122.06
2012-03-24,122.31
2012-03-31,122.67
2012-04-07,122.9
2012-04-16,123.17
2012-04-21,123.32
2012-04-28,123.56
2012-05-05,123.77
2012-05-12,123.99
