date,nav
2022-07-27,1.00653
2022-07-28,1.00691
2022-07-31,1.00704
2022-08-01,1.0072
2022-08-03,1.00748
2022-08-06,1.00792
2022-08-07,1.00805
2022-08-08,1.00826
2022-08-09,1.00848
2022-08-10,1.00861
2022-08-13,1.00904
2022-08-14,1.00917
2022-08-15,1.00985
2022-08-20,1.01056
2022-08-21,1.01079
2022-08-22,1.01102
2022-08-23,1.01129
2022-08-24,1.01156
2022-08-27,1.01238
2022-08-28,1.01265
2022-08-29,1.01292
2022-08-30,1.01343
2022-08-31,1.01372
2022-09-03,1.01458
2022-09-04,1.01492
2022-09-05,1.01521
2022-09-06,1.01553
2022-09-07,1.01579
2022-09-10,1.01662
2022-09-11,1.01685
2022-09-12,1.01714
2022-09-13,1.01741
2022-09-14,1.01769
2022-09-17,1.01853
2022-09-18,1.01881
2022-09-20,1.01938
2022-09-24,1.02053
2022-09-25,1.02081
2022-09-26,1.02109
2022-09-27,1.02137
2022-09-28,1.02163
2022-10-01,1.02246
2022-10-02,1.02273
2022-10-03,1.023
2022-10-04,1.02326
2022-10-08,1.02438
2022-10-09,1.02466
2022-10-10,1.02491
2022-10-11,1.0252
2022-10-12,1.02548
2022-10-15,1.02638
2022-10-16,1.02665
2022-10-17,1.02694
2022-10-18,1.02723
2022-10-19,1.02752
2022-10-22,1.0284
2022-10-23,1.02869
2022-10-25,1.02928
2022-10-26,1.02958
2022-10-29,1.0305
2022-10-30,1.03081
2022-10-31,1.03112
2022-11-01,1.03142
2022-11-02,1.03172
2022-11-05,1.03263
2022-11-06,1.03292
2022-11-07,1.03323
2022-11-08,1.03353
2022-11-09,1.0338
2022-11-12,1.03471
2022-11-13,1.03501
2022-11-14,1.03532
2022-11-15,1.03563
2022-11-16,1.03593
2022-11-19,1.03681
2022-11-20,1.03706
2022-11-21,1.03744
2022-11-22,1.03776
2022-11-23,1.03807
2022-11-26,1.03899
2022-11-27,1.0393
2022-11-28,1.03962
2022-11-29,1.03994
2022-11-30,1.04025
2022-12-03,1.04117
2022-12-04,1.04152
2022-12-05,1.04183
2022-12-06,1.04215
2022-12-07,1.04246
2022-12-10,1.04341
2022-12-11,1.04371
2022-12-12,1.04401
2022-12-13,1.04434
2022-12-14,1.04465
2022-12-17,1.04557
2022-12-18,1.04584
2022-12-19,1.04615
2022-12-20,1.04643
2022-12-21,1.04676
2022-12-24,1.04768
2022-12-25,1.04796
2022-12-26,1.04829
2022-12-27,1.0486
2022-12-28,1.04891
2023-01-01,1.05011
2023-01-02,1.05042
2023-01-03,1.05074
2023-01-04,1.05106
2023-01-08,1.05236
2023-01-09,1.05269
2023-01-10,1.05302
2023-01-11,1.05335
2023-01-14,1.05433
2023-01-15,1.05467
2023-01-16,1.055
2023-01-17,1.05534
2023-01-18,1.05566
2023-01-21,1.05674
2023-01-22,1.05691
2023-01-23,1.0574
2023-01-24,1.05777
2023-01-28,1.05928
2023-01-29,1.05965
2023-01-30,1.06003
2023-01-31,1.06042
2023-02-01,1.06081
2023-02-04,1.06191
2023-02-05,1.06225
2023-02-06,1.06261
2023-02-07,1.06296
2023-02-08,1.06331
2023-02-11,1.06441
2023-02-12,1.06476
2023-02-13,1.06513
2023-02-14,1.06553
2023-02-15,1.06592
2023-02-18,1.06706
2023-02-19,1.06746
2023-02-20,1.0679
2023-02-21,1.06828
2023-02-22,1.06866
2023-02-25,1.06991
2023-02-26,1.07018
2023-02-27,1.07052
2023-02-28,1.0709
2023-03-01,1.07128
2023-03-04,1.07239
2023-03-05,1.07288
2023-03-06,1.07326
2023-03-07,1.07365
2023-03-08,1.07402
2023-03-11,1.07515
2023-03-12,1.07551
2023-03-13,1.07583
2023-03-14,1.07627
2023-03-19,1.07812
2023-03-20,1.07852
2023-03-21,1.0789
2023-03-25,1.08042
2023-03-27,1.08111
2023-03-29,1.08187
2023-04-01,1.0829
2023-04-02,1.08315
2023-04-03,1.08373
2023-04-04,1.08453
2023-04-05,1.08453
2023-04-08,1.08566
2023-04-09,1.08647
2023-04-11,1.08684
2023-04-12,1.08722
2023-04-17,1.08917
2023-04-18,1.08955
2023-04-25,1.0924
2023-04-26,1.09277
2023-04-29,1.09397
2023-04-30,1.09436
2023-05-01,1.09476
2023-05-02,1.09518
2023-05-06,1.09664
2023-05-07,1.09697
2023-05-08,1.09743
2023-05-09,1.09781
2023-05-10,1.09822
2023-05-13,1.09944
2023-05-14,1.0998
2023-05-15,1.10023
2023-05-16,1.10063
2023-05-17,1.10104
2023-05-20,1.10225
2023-05-21,1.10263
2023-05-22,1.10304
2023-05-23,1.10346
2023-05-24,1.10388
2023-05-27,1.10512
2023-05-28,1.10555
2023-05-30,1.1064
2023-05-31,1.10683
2023-06-03,1.10808
2023-06-04,1.10852
2023-06-06,1.10942
2023-06-07,1.10982
2023-06-10,1.11109
2023-06-11,1.11151
2023-06-12,1.11193
2023-06-13,1.11237
2023-06-14,1.1141
2023-06-17,1.1141
2023-06-18,1.11467
2023-06-19,1.11508
2023-06-20,1.11558
2023-06-21,1.11601
2023-06-24,1.11732
2023-06-25,1.11775
2023-07-03,1.11911
2023-07-04,1.12161
2023-07-05,1.12208
2023-07-08,1.12333
2023-07-09,1.12376
2023-07-10,1.12417
2023-07-11,1.12462
2023-07-12,1.12507
2023-07-15,1.12641
2023-07-16,1.12684
2023-07-17,1.12729
2023-07-18,1.12775
2023-07-23,1.13001
2023-07-25,1.1307
2023-07-26,1.1314
2023-07-29,1.13279
2023-07-30,1.1332
2023-07-31,1.13412
2023-08-01,1.13412
2023-08-02,1.13458
2023-08-05,1.13597
2023-08-06,1.13642
2023-08-07,1.13687
2023-08-08,1.13732
2023-08-09,1.13781
2023-08-12,1.13924
2023-08-13,1.13966
2023-08-14,1.14016
2023-08-15,1.14065
2023-08-16,1.14255
2023-08-20,1.14297
2023-08-21,1.14346
2023-08-22,1.14396
2023-08-23,1.14444
2023-08-26,1.14589
2023-08-27,1.14589
2023-08-28,1.14684
2023-08-29,1.14729
2023-08-30,1.1478
2023-09-02,1.14927
2023-09-03,1.14977
2023-09-05,1.15077
2023-09-06,1.15127
2023-09-09,1.15276
2023-09-10,1.15328
2023-09-11,1.15377
2023-09-12,1.15425
2023-09-14,1.15617
2023-09-17,1.15663
2023-09-18,1.15712
2023-09-19,1.15763
2023-09-20,1.15813
2023-09-23,1.1596
2023-09-24,1.16013
2023-09-25,1.16066
2023-09-26,1.16113
2023-09-30,1.16312
2023-10-01,1.16354
2023-10-02,1.16403
2023-10-03,1.1645
2023-10-07,1.16643
2023-10-08,1.16687
2023-10-09,1.16736
2023-10-10,1.16784
2023-10-11,1.16834
2023-10-14,1.16982
2023-10-15,1.17031
2023-10-16,1.17081
2023-10-17,1.17131
2023-10-18,1.17183
2023-10-21,1.17335
2023-10-22,1.17371
2023-10-23,1.17423
2023-10-25,1.1753
2023-10-28,1.17686
2023-10-29,1.17737
2023-10-30,1.1779
2023-10-31,1.17841
2023-11-01,1.17894
2023-11-04,1.18049
2023-11-05,1.18097
2023-11-06,1.18148
2023-11-07,1.182
2023-11-08,1.18249
2023-11-11,1.18404
2023-11-12,1.18452
2023-11-13,1.18502
2023-11-14,1.18554
2023-11-15,1.18605
2023-11-16,1.1876
2023-11-19,1.18813
2023-11-20,1.18865
2023-11-21,1.1892
2023-11-22,1.18973
2023-11-25,1.19134
2023-11-26,1.19188
2023-11-27,1.19243
2023-11-28,1.19296
2023-11-29,1.1935
2023-12-02,1.19512
2023-12-03,1.19564
2023-12-04,1.19617
2023-12-05,1.1967
2023-12-06,1.19932
2023-12-10,1.19932
2023-12-11,1.19985
2023-12-12,1.20033
2023-12-13,1.20085
2023-12-16,1.20241
2023-12-17,1.20285
2023-12-18,1.20335
2023-12-19,1.2039
2023-12-20,1.20441
2023-12-23,1.20597
2023-12-24,1.20644
2023-12-25,1.20696
2023-12-26,1.2075
2023-12-27,1.20803
2023-12-30,1.20968
2024-01-01,1.21072
2024-01-02,1.21128
2024-01-03,1.21183
2024-01-07,1.214
2024-01-08,1.21465
2024-01-09,1.21518
2024-01-10,1.21574
2024-01-13,1.21736
2024-01-21,1.22155
2024-01-22,1.22208
2024-01-23,1.22264
2024-01-27,1.22484
2024-01-28,1.22539
2024-01-31,1.22696
2024-02-03,1.22861
2024-02-04,1.22915
2024-02-05,1.22969
2024-02-06,1.2302
2024-02-10,1.23243
2024-02-11,1.23295
2024-02-12,1.2335
2024-02-13,1.23462
2024-02-17,1.23632
2024-02-18,1.23686
2024-02-21,1.23859
2024-02-25,1.24095
2024-02-26,1.24155
2024-02-27,1.24214
2024-02-28,1.24275
2024-03-02,1.24451
2024-03-03,1.24509
2024-03-04,1.24569
2024-03-05,1.24626
2024-03-06,1.24682
2024-03-09,1.2486
2024-03-10,1.24916
2024-03-12,1.25035
2024-03-13,1.25097
2024-03-16,1.25284
2024-03-17,1.25345
2024-03-18,1.25407
2024-03-19,1.2547
2024-03-20,1.25532
2024-03-23,1.2572
2024-03-24,1.2578
2024-03-25,1.25843
2024-03-27,1.25972
2024-03-30,1.26162
2024-03-31,1.26295
2024-04-01,1.26295
2024-04-02,1.26361
2024-04-03,1.26443
2024-04-06,1.26613
2024-04-07,1.26675
2024-04-14,1.2711
2024-04-15,1.27164
2024-04-16,1.27227
2024-04-17,1.2729
2024-04-20,1.27478
2024-04-21,1.27541
2024-04-22,1.27605
2024-04-23,1.2767
2024-04-27,1.27925
2024-04-28,1.27997
2024-04-29,1.28063
2024-04-30,1.2813
2024-05-01,1.28194
2024-05-06,1.28513
2024-05-07,1.2857
2024-05-08,1.28633
2024-05-11,1.28822
2024-05-12,1.28884
2024-05-13,1.28948
2024-05-14,1.2901
2024-05-15,1.29073
2024-05-18,1.29261
2024-05-19,1.29324
2024-05-20,1.29387
2024-05-21,1.2945
2024-05-22,1.29708
2024-05-25,1.29708
2024-05-26,1.29775
2024-05-27,1.29839
2024-05-28,1.29902
2024-05-29,1.29966
2024-06-01,1.30159
2024-06-02,1.30221
2024-06-03,1.30284
2024-06-04,1.30416
2024-06-08,1.30607
2024-06-09,1.30672
2024-06-10,1.30736
2024-06-11,1.308
2024-06-12,1.30862
2024-06-22,1.31499
2024-06-23,1.3155
2024-06-24,1.31616
2024-06-25,1.31677
2024-06-26,1.3174
2024-06-30,1.31995
2024-07-01,1.32058
2024-07-02,1.3212
2024-07-03,1.32183
2024-07-06,1.32373
2024-07-07,1.32436
2024-07-08,1.325
2024-07-09,1.32563
2024-07-13,1.32817
2024-07-14,1.32942
2024-07-16,1.33006
2024-07-17,1.33069
2024-07-20,1.33259
2024-07-21,1.33322
2024-07-22,1.33387
2024-07-23,1.33451
2024-07-27,1.33705
2024-07-28,1.33769
2024-07-29,1.33834
2024-07-30,1.33897
2024-07-31,1.3396
2024-08-03,1.3415
2024-08-04,1.34208
2024-08-07,1.34401
2024-08-08,1.34595
2024-08-11,1.34656
2024-08-12,1.3472
2024-08-14,1.34852
2024-08-17,1.35048
2024-08-18,1.35113
2024-08-19,1.35178
2024-08-20,1.35242
2024-08-21,1.35307
2024-08-22,1.35503
2024-08-24,1.35503
2024-08-25,1.3557
2024-08-26,1.35637
2024-08-27,1.35771
2024-08-31,1.35968
2024-09-03,1.36164
2024-09-04,1.3623
2024-09-07,1.36427
2024-09-08,1.3649
2024-09-09,1.36556
2024-09-10,1.36622
2024-09-11,1.36688
2024-09-15,1.3695
2024-09-18,1.37084
2024-09-21,1.37352
2024-09-22,1.37419
2024-09-28,1.3783
2024-09-30,1.37969
2024-10-01,1.38038
2024-10-02,1.38107
2024-10-06,1.3838
2024-10-12,1.38784
2024-10-17,1.39266
2024-10-26,1.39751
2024-10-27,1.39818
2024-10-28,1.39887
2024-10-29,1.39958
2024-10-30,1.40031
2024-10-31,1.40245
2024-11-03,1.40314
2024-11-04,1.40385
2024-11-06,1.40529
2024-11-07,1.4074
2024-11-10,1.4074
2024-11-12,1.40883
2024-11-13,1.40955
2024-11-14,1.41027
2024-11-16,1.41245
2024-11-17,1.41318
2024-11-18,1.41389
2024-11-19,1.41462
2024-11-20,1.41534
2024-11-23,1.41534
2024-11-24,1.41753
2024-11-25,1.41826
2024-11-26,1.41899
2024-11-27,1.41976
2024-11-28,1.42052
2024-12-01,1.42273
2024-12-02,1.4235
2024-12-03,1.42425
2024-12-04,1.42496
2024-12-05,1.4257
2024-12-08,1.42791
2024-12-09,1.42863
2024-12-10,1.42936
2024-12-11,1.43086
2024-12-15,1.43315
2024-12-16,1.4339
2024-12-17,1.43467
2024-12-18,1.43544
2024-12-19,1.43619
2024-12-22,1.43848
2024-12-23,1.43997
2024-12-25,1.44073
2024-12-26,1.44149
2024-12-29,1.44377
2024-12-30,1.44453
2024-12-31,1.44531
2025-01-02,1.44677
2025-01-05,1.44957
2025-01-08,1.45098
2025-01-09,1.45172
2025-01-11,1.45387
2025-01-12,1.45449
2025-01-13,1.45521
2025-01-14,1.45594
2025-01-15,1.45663
2025-01-18,1.4588
2025-01-19,1.4595
2025-01-20,1.46023
2025-01-21,1.46094
2025-01-22,1.46167
2025-01-25,1.46384
2025-01-26,1.46456
2025-01-27,1.46528
2025-01-29,1.46599
2025-01-30,1.46672
2025-02-01,1.46889
2025-02-02,1.46982
2025-02-04,1.47105
2025-02-05,1.47177
2025-02-06,1.47395
2025-02-09,1.47465
2025-02-10,1.47538
2025-02-11,1.4761
2025-02-12,1.47682
2025-02-15,1.47901
2025-02-16,1.47901
2025-02-17,1.47971
2025-02-18,1.48119
2025-02-19,1.48193
2025-02-22,1.48415
2025-02-23,1.48488
2025-02-24,1.48562
2025-02-25,1.48639
2025-02-27,1.48714
2025-03-01,1.4894
2025-03-02,1.49012
2025-03-03,1.49087
2025-03-04,1.49161
2025-03-05,1.49237
2025-03-06,1.49237
2025-03-09,1.49537
2025-03-10,1.49613
2025-03-11,1.49687
2025-03-12,1.49763
2025-03-15,1.49989
2025-03-16,1.50055
2025-03-17,1.5013
2025-03-19,1.50282
2025-03-23,1.50584
2025-03-24,1.50658
2025-03-25,1.50658
2025-03-26,1.50737
2025-03-27,1.50814
2025-04-03,1.51342
2025-04-06,1.5163
2025-04-07,1.51708
2025-04-08,1.51783
2025-04-09,1.5186
2025-04-12,1.52088
2025-04-13,1.52162
2025-04-14,1.52239
2025-04-15,1.52316
2025-04-16,1.52392
2025-04-21,1.52777
2025-04-22,1.52849
2025-04-26,1.53157
2025-04-27,1.53234
2025-04-28,1.53312
2025-04-29,1.53388
2025-05-03,1.53689
2025-05-04,1.53754
2025-05-05,1.53829
2025-05-06,1.53903
2025-05-07,1.53829
2025-05-08,1.53977
2025-05-10,1.54201
2025-05-11,1.54274
2025-05-12,1.54348
2025-05-13,1.54421
2025-05-14,1.54498
2026-09-19,1.92831
