date,nav
2023-05-28,1.0
2023-06-11,1.00014
2023-06-12,1.00047
2023-06-13,1.00091
2023-06-14,1.00135
2023-06-18,1.0031
2023-06-19,1.00354
2023-06-20,1.00398
2023-06-21,1.00442
2023-06-24,1.00274
2023-06-25,1.00618
2023-06-30,1.00834
2023-07-03,1.00966
2023-07-04,1.01007
2023-07-05,1.01049
2023-07-08,1.01181
2023-07-09,1.01225
2023-07-10,1.01269
2023-07-11,1.01313
2023-07-12,1.01357
2023-07-15,1.01488
2023-07-16,1.01532
2023-07-17,1.01575
2023-07-18,1.01619
2023-07-23,1.01839
2023-07-24,1.01883
2023-07-25,1.01927
2023-07-26,1.01971
2023-07-27,1.02014
2023-07-30,1.02143
2023-07-31,1.02186
2023-08-01,1.02216
2023-08-02,1.0226
2023-08-05,1.02391
2023-08-06,1.02433
2023-08-07,1.02476
2023-08-08,1.0252
2023-08-09,1.02563
2023-08-10,1.02691
2023-08-12,1.02691
2023-08-13,1.02732
2023-08-14,1.02774
2023-08-15,1.02816
2023-08-16,1.02858
2023-08-19,1.02993
2023-08-20,1.03025
2023-08-21,1.03067
2023-08-22,1.0311
2023-08-23,1.03153
2023-08-26,1.03283
2023-08-27,1.03319
2023-08-28,1.03357
2023-08-29,1.03403
2023-08-30,1.03445
2023-09-01,1.03576
2023-09-02,1.03576
2023-09-03,1.03618
2023-09-04,1.03664
2023-09-05,1.0371
2023-09-06,1.03756
2023-09-09,1.03894
2023-09-10,1.03938
2023-09-11,1.03986
2023-09-12,1.04034
2023-09-13,1.04082
2023-09-16,1.04222
2023-09-17,1.04267
2023-09-18,1.04315
2023-09-19,1.04362
2023-09-20,1.0441
2023-09-23,1.04554
2023-09-24,1.04601
2023-09-25,1.04649
2023-09-26,1.04696
2023-09-30,1.04886
2023-10-01,1.04928
2023-10-02,1.04977
2023-10-03,1.05024
2023-10-07,1.05216
2023-10-08,1.05261
2023-10-09,1.05309
2023-10-10,1.05355
2023-10-11,1.05402
2023-10-14,1.05543
2023-10-15,1.05593
2023-10-16,1.05643
2023-10-17,1.05694
2023-10-18,1.0574
2023-10-21,1.05892
2023-10-22,1.05941
2023-10-24,1.06039
2023-10-25,1.06089
2023-10-28,1.0624
2023-10-29,1.06287
2023-10-30,1.06335
2023-10-31,1.06384
2023-11-01,1.06433
2023-11-04,1.06581
2023-11-05,1.06627
2023-11-06,1.06676
2023-11-07,1.06725
2023-11-08,1.06774
2023-11-11,1.06922
2023-11-12,1.07015
2023-11-13,1.07018
2023-11-14,1.07063
2023-11-15,1.07255
2023-11-18,1.07255
2023-11-19,1.07291
2023-11-20,1.0734
2023-11-21,1.07376
2023-11-22,1.07431
2023-11-25,1.07579
2023-11-26,1.07625
2023-11-27,1.07673
2023-11-28,1.07774
2023-12-02,1.07923
2023-12-03,1.07972
