date,nav
2025-02-10,10.26491
2025-02-11,9.9712
2025-02-12,9.86659
2025-02-15,9.89467
2025-02-16,10.10018
2025-02-17,10.03654
2025-02-18,10.10697
2025-02-22,10.24942
2025-02-23,10.23903
2025-02-24,10.22457
2025-02-26,10.03689
2025-03-02,10.07821
2025-03-03,10.15403
2025-03-04,10.13147
2025-03-05,10.0803
2025-03-09,10.16551
2025-03-10,10.07274
2025-03-11,10.01467
2025-03-12,10.04236
2025-03-15,10.12506
2025-03-16,10.23724
2025-03-17,10.21656
2025-03-18,10.24613
2025-03-19,10.28166
2025-03-22,10.27949
2025-03-23,10.39753
2025-03-24,10.45978
2025-03-25,10.4895
2025-03-26,10.47994
2025-04-02,10.48617
2025-04-03,10.54393
2025-04-06,10.06175
2025-04-07,10.03451
2025-04-08,10.18376
2025-04-09,9.91979
2025-04-12,10.27893
2025-04-13,10.43021
2025-04-14,10.51919
2025-04-15,10.63189
2025-04-16,10.67612
2025-04-21,10.58749
2025-04-22,10.58818
2025-04-26,10.80184
2025-04-27,10.8856
2025-04-28,10.91565
2025-04-29,10.96587
2025-05-03,10.97193
2025-05-04,11.03934
2025-05-05,10.99915
2025-05-06,11.00408
2025-05-07,10.89706
2025-05-10,10.89328
2025-05-11,10.81918
2025-05-12,10.88188
2025-05-13,10.86331
2025-05-14,10.8654
2026-09-17,19.09598
