date,nav
2007-05-31,103.67
2007-06-07,103.5
2007-06-14,103.7
2007-06-21,109.67
2007-06-28,109.53
2007-07-12,113.35
2007-07-29,114.57
2007-08-02,111.77
2007-08-11,114.76
2007-08-19,114.29
2007-08-26,114.52
2007-09-02,113.35
2007-09-13,121.78
2007-09-20,122.71
2007-09-27,122.96
2007-10-16,127.74
2007-10-18,128.95
2007-10-25,129.55
2007-11-01,131.03
2007-11-08,128.11
2007-11-15,129.92
2007-11-28,133.81
2007-11-29,136.4
2007-12-06,137.87
2007-12-13,135.77
2007-12-17,136.25
2007-12-27,138.45
2008-01-03,140.31
2008-01-10,143.52
2008-01-17,141.92
2008-01-27,132.66
2008-02-02,135.68
2008-02-07,134.83
2008-02-17,134.15
2008-02-21,139.54
2008-02-28,144.25
2008-03-06,147.6
2008-03-13,149.06
2008-03-19,143.61
2008-03-27,143.84
2008-04-03,144.8
2008-04-10,146.72
2008-04-17,143.37
2008-04-24,142.79
2008-04-30,143.41
2008-05-07,134.83
2008-05-08,142.25
2008-05-15,122.32
2008-05-22,128.07
2008-05-29,132.0
2008-06-05,132.39
2008-06-12,128.71
2008-06-19,125.96
2008-06-26,120.33
2008-07-06,118.06
2008-07-10,112.47
2008-07-17,108.61
2008-07-24,109.41
2008-07-31,107.65
2008-08-07,102.5
2008-08-14,95.17
2008-08-21,92.58
2008-08-28,96.63
2008-09-04,97.26
2008-09-11,95.34
2008-09-18,87.21
2008-09-25,86.25
2008-09-29,86.96
2008-10-09,76.25
2008-10-16,77.24
2008-10-23,70.45
2008-10-30,67.44
2008-11-06,70.48
2008-11-13,69.23
2008-11-20,60.58
2008-11-27,60.82
2008-12-04,61.52
2008-12-11,63.65
2008-12-18,65.39
2008-12-25,64.38
2008-12-31,66.51
2009-01-08,67.36
2009-01-15,64.33
2009-01-22,59.05
2009-01-29,59.39
2009-02-05,54.7
2009-02-12,55.62
2009-02-19,55.62
2009-02-26,55.38
2009-03-05,55.61
2009-03-12,56.14
2009-03-19,57.73
2009-03-26,59.74
2009-04-02,61.55
2009-04-09,63.87
2009-04-23,64.83
2009-04-30,66.94
2009-05-07,68.2
2009-05-14,68.35
2009-05-21,68.13
2009-05-28,69.317
2009-06-04,73.95
2009-06-11,73.91
2009-06-18,74.5
2009-06-25,68.23
2009-07-02,71.16
2009-07-09,67.52
2009-07-16,68.12
2009-07-22,69.38
2009-07-30,70.66
2009-08-06,72.1
2009-08-13,72.51
2009-08-20,71.57
2009-08-27,73.54
2009-09-03,72.9
2009-09-10,73.61
2009-09-17,74.37
2009-09-24,75.18
2009-10-01,73.39
2009-10-08,73.08
2009-10-15,74.38
2009-10-22,73.84
2009-10-29,72.27
2009-11-05,68.8
2009-11-12,69.95
2009-11-19,67.17
2009-11-25,67.57
2009-12-03,65.29
2009-12-10,64.18
