date,nav
2005-08-04,304.71641
2005-08-11,304.53433
2005-08-18,300.3994
2005-08-25,305.92243
2005-09-01,311.85171
2005-09-08,324.07835
2005-09-15,328.30628
2005-09-22,336.74354
2005-09-29,359.15285
2005-10-05,355.85684
2005-10-13,363.64019
2005-10-20,363.27114
2005-10-27,359.27325
2005-11-01,370.90961
2005-11-10,383.42503
2005-11-17,368.8441
2005-11-24,363.46398
2005-12-01,366.01601
2005-12-08,400.78019
2005-12-15,396.23999
2005-12-22,396.05204
2005-12-29,408.23952
2006-01-05,425.27067
2006-01-12,451.81882
2006-01-19,472.44552
2006-01-26,510.33733
2006-02-02,514.92648
2006-02-09,485.38383
2006-02-16,439.56869
2006-02-23,459.00112
2006-03-02,454.7076
2006-03-09,435.02261
2006-03-16,426.0587
2006-03-23,440.89218
2006-03-30,447.0055
2006-04-06,468.0688
2006-04-13,455.23034
2006-04-20,446.84594
2006-04-27,442.32629
2006-05-04,448.40339
2006-05-11,427.71502
2006-05-18,425.19333
2006-05-25,369.30321
2006-06-01,387.26237
2006-06-08,382.73783
2006-06-15,352.32981
2006-06-22,357.16859
2006-06-29,355.23523
2006-07-06,377.46833
2006-07-13,364.60442
2006-07-20,357.25571
2006-07-27,385.64912
2006-08-03,396.56401
2006-08-10,399.70339
2006-08-17,396.45437
2006-08-24,409.50428
2006-08-31,415.35329
2006-09-07,408.42258
2006-09-14,417.67332
2006-09-21,422.6462
2006-09-28,428.33369
2006-10-05,424.98581
2006-10-12,426.84574
2006-10-26,434.73579
2006-11-09,428.45116
2006-11-16,430.8495
2006-11-26,437.77042
2006-11-30,437.53549
2006-12-18,439.90446
2006-12-21,440.74632
2006-12-28,446.87433
2007-01-14,444.99481
2007-01-22,439.21922
2007-01-28,423.97753
2007-02-04,422.45042
2007-02-11,433.08143
2007-02-18,450.45715
2007-02-25,461.12732
2007-03-04,456.84946
2007-03-11,463.78996
2007-03-18,476.36901
2007-03-25,474.32308
2007-04-08,471.14161
2007-04-09,471.14161
2007-04-15,476.00681
2007-04-22,477.14235
2007-04-29,482.869
2007-05-06,493.28465
2007-05-13,510.06324
2007-05-20,513.68522
2007-05-27,522.18219
2007-06-03,527.42917
2007-06-10,525.09936
2007-06-17,529.45553
