date,nav
2011-08-20,100.22
2011-08-25,100.35
2011-08-29,100.43
2011-09-08,100.61
2011-09-15,100.75
2011-09-22,100.78
2011-09-29,100.9
2011-10-05,101.04
2011-10-13,101.43
2011-10-20,101.69
2011-10-27,101.86
2011-11-03,102.01
2011-11-10,102.12
2011-11-17,102.09
2011-11-24,101.87
2011-12-01,102.54
2011-12-08,102.54
2011-12-15,102.6
2011-12-22,101.89
2011-12-29,102.01
2012-01-05,102.08
2012-01-12,103.32
2012-01-19,103.96
2012-01-26,106.71
2012-02-02,107.68
2012-02-09,108.32
2012-02-16,109.59
2012-02-26,110.26
2012-03-01,111.1
2012-03-08,111.26
2012-03-15,109.9
2012-03-22,109.93
2012-03-29,108.69
2012-04-05,107.85
2012-04-12,107.65
2012-04-19,107.67
2012-04-26,111.5
2012-05-03,110.55
2012-05-10,111.79
2012-05-17,109.3
2012-05-24,110.22
2012-05-31,107.73
2012-06-07,105.63
2012-06-14,104.76
2012-06-28,110.34
2012-07-05,113.35
2012-07-12,111.67
2012-07-19,112.1
2012-07-26,111.34
2012-08-02,112.91
2012-08-09,112.95
2012-08-16,116.12
2012-08-23,117.29
2012-08-30,119.02
2012-09-06,120.55
2012-09-13,121.35
2012-09-20,122.95
2012-09-27,123.65
2012-10-04,121.1
2012-10-11,121.5
2012-10-18,122.33
2012-10-24,122.49
2012-11-01,120.89
2012-11-08,120.22
2012-11-14,120.62
2012-11-22,118.5
2012-11-29,111.86
2012-12-06,111.97
2012-12-13,115.77
2012-12-20,117.9
2012-12-27,116.35
2013-01-03,122.54
2013-01-10,121.96
2013-01-17,120.11
2013-01-23,120.44
2013-01-31,120.24
2013-02-07,122.27
2013-02-14,122.62
2013-02-20,122.62
2013-02-21,121.23
2013-02-28,120.54
2013-03-07,120.99
2013-03-14,120.28
2013-03-21,119.77
2013-03-28,119.14
2013-04-04,117.51
2013-04-11,121.48
2013-04-18,122.52
2013-04-24,121.65
2013-05-02,122.18
2013-05-09,123.81
2013-05-16,123.3
2013-05-23,121.37
2013-05-30,121.29
2013-06-06,116.8202
2013-06-13,111.51
2013-06-20,111.5
2013-06-25,122.52
2013-07-04,121.87
2013-07-11,121.2
2013-07-18,122.24
2013-07-25,122.52
2013-08-01,123.65
2013-08-07,126.01
2013-08-14,125.08
2013-08-22,124.94
2013-08-29,124.21
2013-09-05,123.71
2013-09-12,126.3
2013-09-19,127.12
2013-09-26,128.53
2013-10-03,128.79
2013-10-10,130.85
2013-10-13,131.36
2013-10-23,132.71
2013-10-24,132.77
2013-10-31,132.61
2013-11-07,134.29
2013-11-14,132.32
2013-11-21,134.59
2013-11-28,132.27
2013-12-05,133.71
2013-12-12,136.07
2013-12-19,137.55
2013-12-26,137.78
2014-01-02,137.7
2014-01-09,139.98
2014-01-16,141.5
2014-01-23,141.72
2014-01-30,143.45
2014-02-06,144.87
2014-02-13,146.12
2014-02-20,148.96
2014-02-27,150.22
2014-03-06,148.64
2014-03-13,150.41
2014-03-20,154.11
2014-03-27,154.76
2014-04-03,148.57
2014-04-10,151.94
2014-04-21,154.94
2014-04-23,157.19
2014-04-30,156.51
2014-05-08,156.59
2014-05-15,160.22
2014-05-29,158.36
2014-06-05,160.65
2014-06-12,162.66
2014-06-19,158.96
2014-06-26,156.51
2014-07-03,158.69
2014-07-10,159.93
2014-07-17,161.66
2014-07-24,162.13
2014-07-31,163.07
2014-08-07,165.85
2014-08-14,167.18
2014-08-21,167.65
2014-08-28,168.7
2014-09-11,168.42
2014-09-18,170.4
2014-09-25,170.05
2014-10-02,170.92
2014-10-09,169.76
2014-10-16,161.54
2014-10-23,163.28
2014-10-30,166.22
2014-11-06,169.13
2014-11-13,167.97
2014-11-20,167.46
2014-11-27,168.61
2014-12-04,169.01
2014-12-11,167.6
2014-12-18,158.97
2014-12-25,162.88
2014-12-31,163.95
2015-01-08,164.33
2015-01-15,170.22
2015-01-22,172.61
2015-01-29,172.67
2015-02-05,174.33
