date,nav
2019-09-28,100.56
2019-10-03,100.69
2019-10-06,100.81
2019-10-08,100.84
2019-10-09,100.87
2019-10-13,100.99
2019-10-14,101.02
2019-10-15,101.05
2019-10-16,101.08
2019-10-20,101.2
2019-10-23,101.3
2019-10-26,101.42
2019-10-28,101.45
2019-10-30,101.51
2019-11-03,101.63
2019-11-04,101.66
2019-11-06,101.73
2019-11-10,101.88
2019-11-17,102.07
2019-11-19,102.13
2019-11-23,102.28
2019-11-24,102.28
2019-11-26,102.34
2019-11-27,102.4
2019-11-30,102.49
2019-12-02,102.52
2019-12-07,102.7
2019-12-08,102.7
2019-12-14,102.91
2019-12-15,102.94
2019-12-18,103.0
2019-12-21,103.12
2019-12-28,103.33
2020-01-04,103.76
2020-01-05,103.55
2020-01-16,103.97
2020-01-19,103.97
2020-01-25,104.18
2020-02-02,104.39
2020-02-06,104.51
2020-02-08,104.6
2020-02-09,104.63
2020-02-11,104.66
2020-02-13,104.72
2020-02-15,104.8
2020-02-19,104.89
2020-02-23,105.01
2020-02-24,105.04
2020-02-25,105.07
2020-02-27,105.13
2020-02-29,105.22
2020-03-02,105.25
2020-03-03,105.28
2020-03-08,105.43
2020-03-09,105.46
2020-03-11,105.52
2020-03-14,105.63
2020-03-16,105.66
2020-03-19,105.75
2020-03-22,105.83
2020-03-24,105.89
2020-03-25,105.91
2020-03-26,105.94
2020-03-29,106.05
2020-03-31,106.08
2020-04-01,106.11
2020-04-02,106.13
2020-04-04,106.22
2020-04-12,106.41
2020-04-13,106.46
2020-04-14,106.46
2020-04-16,106.52
2020-04-20,106.66
2020-04-25,106.8
2020-05-02,107.1
2020-05-09,107.2
2020-05-12,107.26
2020-05-16,107.4
2020-05-17,107.4
2020-05-19,107.48
2020-05-20,107.48
2020-05-21,107.51
2020-05-30,107.79
2020-06-03,107.87
2020-06-07,107.98
2020-06-08,108.01
2020-06-09,108.04
2020-06-10,108.06
2020-06-11,108.36
2020-06-13,108.17
2020-06-21,108.36
2020-06-24,108.45
2020-06-25,108.48
2020-06-27,108.56
2020-07-04,108.75
2020-07-05,108.75
2020-07-06,108.78
2020-07-07,108.8
2020-07-08,108.83
2020-07-09,108.86
2020-07-11,108.94
2020-07-18,109.12
2020-07-20,109.15
2020-07-22,109.2
2020-07-26,109.3
2020-07-27,109.36
2020-07-29,109.38
2020-08-03,109.54
2020-08-08,109.67
2020-08-09,109.67
2020-08-10,109.7
2020-08-11,109.73
2020-08-15,109.86
2020-08-16,109.86
2020-08-18,109.91
2020-08-19,109.94
2020-08-22,110.04
2020-08-26,110.12
2020-08-29,110.23
2020-08-31,110.25
2020-09-01,110.28
2020-09-02,110.3
2020-09-03,110.33
2020-09-05,110.41
2020-09-06,110.41
2020-09-07,110.44
2020-09-08,110.46
2020-09-09,110.49
2020-09-10,110.52
2020-09-13,110.59
2020-09-15,110.65
2020-09-17,110.7
2020-09-21,110.8
2020-09-22,110.83
