date,nav
2012-08-25,102.69
2012-09-01,102.9
2012-09-09,103.1
2012-09-16,103.31
2012-09-22,103.51
2012-09-29,103.72
2012-10-07,103.99
2012-10-13,104.17
2012-10-20,104.38
2012-10-28,104.62
2012-11-03,104.8
2012-11-10,105.01
2012-11-17,105.22
2012-11-24,105.44
2012-12-01,105.64
2012-12-09,105.85
2012-12-15,106.05
2012-12-22,106.26
2012-12-29,106.46
2012-12-31,106.52
2013-01-05,106.67
2013-01-12,106.88
2013-01-19,107.08
2013-01-26,107.3
2013-02-02,107.51
2013-02-07,107.72
2013-02-16,107.93
2013-02-23,108.13
2013-03-02,108.33
2013-03-09,108.53
2013-03-16,108.73
2013-03-23,108.94
2013-03-30,109.14
2013-04-27,109.96
2013-05-06,109.96
2013-05-11,110.36
2013-05-18,110.57
2013-05-25,110.77
2013-06-01,110.98
2013-06-08,111.18
2013-06-15,111.39
2013-06-22,111.6
2013-07-13,112.23
2013-07-20,112.44
2013-07-27,112.65
2013-08-03,112.86
2013-08-11,113.1
2013-08-17,113.28
2013-08-24,113.49
2013-08-31,113.7
2013-09-07,113.92
2013-09-14,114.13
2013-09-21,114.38
2013-09-28,114.59
2013-10-06,114.89
2013-10-09,115.08
2013-10-12,115.16
2013-10-19,115.37
2013-10-22,115.46
2013-10-23,115.49
2013-10-24,115.58
2013-10-26,115.58
2013-10-28,115.64
2013-10-29,115.67
2013-10-30,115.7
2013-11-05,115.87
2013-11-09,115.99
2013-11-16,116.2
2013-11-30,116.6
2013-12-07,116.81
2013-12-14,117.02
2013-12-21,117.22
2013-12-28,117.42
2014-01-04,117.642
2014-01-11,117.82
2014-01-18,118.02
2014-01-25,118.22
2014-02-01,118.41
2014-02-08,118.6
2014-02-15,118.8
2014-02-22,118.98
2014-03-01,119.18
2014-03-08,119.36
2014-03-15,119.55
2014-03-22,119.73
2014-03-29,119.93
2014-04-05,120.11
2014-04-12,120.29
2014-04-21,120.52
2014-05-03,120.83
2014-05-31,121.55
2014-06-08,121.76
2014-06-14,121.92
2014-06-21,122.1
2014-06-28,122.2
2014-07-05,122.48
2014-07-12,122.66
2014-07-19,122.84
2014-07-26,123.02
2014-08-02,123.2
2014-08-09,123.39
2014-08-16,123.58
2014-08-24,123.76
2014-09-06,124.14
2014-09-13,124.32
2014-09-20,124.51
2014-09-27,124.69
2014-10-07,125.07
2014-10-18,125.26
2014-11-01,125.64
2014-11-08,125.83
2014-11-15,126.02
2014-11-22,126.24
2014-11-29,126.4
2014-12-06,126.59
2014-12-13,126.79
2014-12-20,126.99
2014-12-27,127.18
2015-01-03,127.38
2015-01-10,127.57
2015-01-17,127.77
2015-01-25,127.99
2015-02-01,128.16
2015-02-08,128.36
2015-02-15,128.56
2015-02-22,128.76
2015-03-01,128.96
2015-03-08,129.16
2015-03-15,129.36
2015-03-22,129.77
2015-03-29,129.77
2015-04-04,129.97
2015-04-14,130.23
2015-04-18,130.37
2015-04-25,130.58
2015-05-02,130.78
2015-05-10,130.98
2015-05-16,131.19
2015-05-24,131.39
2015-05-31,131.59
2015-06-07,131.79
2015-06-13,132.0
2015-06-21,132.21
2015-06-27,132.41
2015-07-04,132.62
2015-07-11,132.83
2015-07-20,133.09
2015-07-25,133.24
2015-08-01,133.45
2015-08-08,133.66
2015-08-15,133.86
2015-08-22,134.07
2015-08-29,134.28
2015-09-05,134.49
2015-09-12,134.7
2015-09-19,134.91
2015-09-28,135.14
2015-10-03,135.32
2015-10-10,135.53
2015-10-17,135.75
2015-10-24,135.97
2015-10-31,136.18
2015-11-07,136.39
2015-11-14,136.6
2015-11-21,136.81
2015-11-28,136.99
2015-12-05,137.2
2015-12-13,137.44
2015-12-20,137.65
2015-12-27,137.87
2016-01-03,138.13
2016-01-10,138.34
2016-01-17,138.56
2016-01-24,138.71
2016-01-31,138.95
2016-02-07,139.08
2016-02-10,142.8506
2016-02-14,139.3
2016-02-21,139.52
2016-02-28,139.75
2016-03-06,139.96
2016-03-13,140.18
2016-03-20,140.4
2016-03-27,140.62
