date,nav
2010-03-08,3.03964
2010-03-15,3.08744
2010-03-22,3.04197
2010-03-29,3.13181
2010-04-07,3.09148
2010-04-27,3.09148
2010-05-03,3.30719
2010-05-10,3.30719
2010-05-17,3.31481
2010-05-24,2.96556
2010-05-31,2.98834
2010-06-07,2.97674
2010-06-14,2.97881
2010-06-21,3.00908
2010-06-28,2.98184
2010-07-05,2.89684
2010-07-12,2.92214
2010-07-19,2.91357
2010-08-02,2.97121
2010-08-09,2.99238
2010-08-16,2.96554
2010-08-23,2.99023
2010-08-30,2.99924
2010-09-06,3.01479
2010-09-14,3.02293
2010-09-20,3.03235
2010-09-27,3.07714
2010-10-03,3.07511
2010-10-10,3.08306
2010-10-17,3.10794
2010-10-24,3.10056
2010-10-31,3.05227
2010-11-07,3.09794
2010-11-14,3.08413
2010-11-21,3.1203
2010-11-28,3.09621
2010-12-05,3.08194
2010-12-12,3.10177
2010-12-19,3.08701
2010-12-26,3.09807
2011-01-02,3.13457
2011-01-10,3.16779
2011-01-16,3.16066
2011-01-23,3.22273
2011-03-27,2.66992
2011-04-03,2.80066
2011-04-10,2.76118
2011-04-17,2.72698
2011-04-26,2.69804
2011-05-02,2.71104
2011-05-15,2.71077
2011-05-29,2.76449
2011-07-17,2.73039
2011-07-25,2.69989
2011-07-31,2.69962
2011-08-07,2.66093
2011-08-21,2.61191
2011-08-28,2.63967
2011-09-04,2.64365
2011-09-18,2.59035
2011-09-25,2.57198
2011-10-16,2.56384
2011-10-23,2.58613
2011-10-30,2.60405
2011-11-09,2.60141
2011-11-13,2.58
2011-11-24,2.50523
2011-12-04,2.54276
2011-12-29,2.46608
2012-01-02,2.47082
2012-01-09,2.46836
2012-01-15,2.48898
2012-01-22,2.48874
2012-01-29,2.69935
2012-02-06,2.72179
2012-02-12,2.89708
2012-02-19,3.1531
2012-02-26,3.20302
2012-03-01,3.24861
2012-03-08,3.25043
2012-03-15,3.06597
2012-03-22,3.07095
2012-03-29,3.06666
2012-04-05,3.06709
2012-04-12,3.06773
2012-04-19,3.07292
2012-04-26,3.08012
2012-05-03,3.02761
2012-05-10,3.11134
2012-05-17,3.0246
2012-05-24,3.06888
2012-05-31,2.98509
2012-06-07,2.91409
2012-06-14,2.89796
2012-06-21,2.74475
2012-06-28,6.07465
2012-07-05,6.36082
2012-07-12,6.05066
2012-07-19,6.09689
2012-07-26,6.01507
2012-08-02,6.13645
2012-08-09,6.09617
2012-08-16,6.39619
2012-08-23,6.47082
2012-08-30,6.8236
2012-09-06,7.09967
2012-09-13,7.34494
2012-09-20,7.49181
2012-09-27,7.594
2012-10-04,7.20989
2012-10-11,7.1998
2012-10-18,7.18035
2012-10-24,7.3126
2012-11-01,7.07559
2012-11-08,6.79013
2012-11-14,6.7844
2012-11-22,6.77753
2012-11-29,6.76756
2012-12-06,6.7728
2012-12-13,6.79556
2012-12-20,6.80882
2012-12-27,6.81459
2013-01-03,6.83456
2013-01-10,6.85484
2013-01-17,6.86719
2013-01-23,6.87611
2013-01-31,6.89122
2013-02-07,6.89947
2013-02-14,7.02026
2013-02-21,6.91917
2013-02-28,6.9241
2013-03-07,6.93444
2013-03-14,6.94548
2013-03-21,6.95605
2013-03-28,6.96549
2013-04-04,6.97576
2013-04-11,6.98257
2013-04-18,6.99467
2013-04-24,6.98276
2013-05-02,7.00468
2013-05-09,7.0813
2013-05-16,7.08796
2013-05-23,7.04241
2013-05-30,7.02318
2013-06-06,6.81607
2013-06-13,6.51933
2013-06-20,6.4907
2013-07-04,6.80445
2013-07-11,6.80578
2013-07-18,6.77175
2013-07-25,6.7862
2013-08-01,6.81322
2013-08-14,6.89798
2013-08-22,6.90148
2013-08-29,6.75731
2013-09-05,6.61058
2013-09-12,6.89997
2013-09-19,7.01675
2013-09-26,7.21939
2013-10-03,7.19117
2013-10-10,7.40341
2013-10-13,7.49532
2013-10-24,7.55926
2013-10-31,7.49853
2013-11-07,7.72688
2013-11-14,7.5653
2013-11-21,7.74889
2013-11-28,7.43727
2013-12-05,7.53995
2013-12-12,7.74988
2013-12-19,7.87946
2013-12-26,7.90903
2014-01-02,7.91586
2014-01-09,7.4041
2014-01-16,7.72087
2014-01-23,8.00506
2014-01-30,8.19117
2014-02-06,8.34282
2014-02-13,8.43887
2014-02-20,8.71492
2014-02-27,9.33372
2014-03-06,9.26787
2014-03-13,9.58237
2014-03-20,9.98244
2014-03-27,9.64421
2014-04-03,8.95481
2014-04-10,8.86645
2014-04-30,8.98335
2014-05-08,9.01131
2014-05-15,9.30659
2014-05-29,9.01842
2014-06-05,9.36141
2014-06-12,9.60822
2014-06-19,9.24437
2014-06-26,9.01901
2014-07-03,9.28237
2014-07-10,9.46248
2014-07-17,9.5764
2014-07-24,9.52542
2014-07-31,9.6091
2014-08-07,9.94303
2014-08-14,10.18059
2014-08-21,10.10822
2014-08-28,10.12733
2014-09-04,10.24872
2014-09-11,9.87602
2014-09-18,10.18663
2014-09-25,9.97144
2014-10-09,9.97885
2014-10-16,8.7897
2014-10-23,9.07994
2014-10-30,9.42258
2014-11-06,9.67591
2014-11-13,9.60941
2014-11-20,9.67868
2014-11-27,9.78049
2014-12-04,9.88023
2014-12-11,9.642
2014-12-18,8.9922
2014-12-25,9.21456
2014-12-31,9.34209
2015-01-08,9.31789
2015-01-15,9.60746
2015-01-22,9.93694
2015-01-29,9.86426
2015-02-05,9.92385
2015-02-12,9.7191
2015-02-19,9.50002
2015-02-26,9.40493
2015-03-05,9.43572
2015-03-12,9.45614
2015-03-19,9.48801
2015-03-26,9.33629
2015-04-02,9.32663
2015-04-09,9.33081
2015-04-23,9.35081
2015-05-07,9.36345
2015-05-14,9.33831
2015-05-21,9.33127
2015-05-28,9.27815
2015-06-04,9.16951
2015-06-11,8.99049
2015-06-18,8.97951
