date,nav
2010-09-01,100.6
2010-10-03,101.07
2010-10-25,101.7
2010-11-01,101.74
2010-12-01,102.21
2011-01-27,100.72
2011-04-03,101.06
2011-05-02,101.62
2011-06-01,102.28
2011-07-03,102.84
2011-08-01,103.48
2011-09-04,104.08
2011-10-02,104.73
2011-10-31,105.46
2011-11-30,106.11
2011-12-29,106.79
2012-01-31,107.62
2012-02-26,108.59
2012-03-29,109.19
2012-04-30,110.38
2012-05-31,111.26
2012-06-28,112.05
2012-07-31,113.08
2012-08-30,114.6
2012-09-30,116.2
2012-10-31,116.33
2012-11-29,115.49
2012-12-31,118.21
2013-01-28,120.21
2013-01-31,119.55
2013-03-31,120.43
2013-04-30,121.71
2013-06-30,121.79
2013-07-30,125.23
2013-08-29,125.91
2013-10-31,129.53
2013-11-28,130.17
2014-01-30,136.82
2014-02-13,136.82
2014-02-20,136.82
2014-02-27,140.21
2014-03-31,141.26
2014-04-30,143.83
2014-05-29,144.59
2014-06-01,144.59
2014-07-31,147.33
2014-09-30,152.02
2015-01-29,153.57
2015-02-26,152.35
2015-03-01,152.35
2015-03-31,152.7
2015-04-01,152.7
2015-04-30,152.08
2015-05-03,152.08
2015-05-31,152.79
2015-06-01,152.79
2015-06-29,152.18
2015-07-02,152.18
2015-07-30,152.01
2015-08-02,152.01
2015-09-01,148.35
2015-10-01,148.39
2015-10-29,149.01
2015-12-01,149.77
2016-01-03,150.41
2016-01-31,151.33
2016-02-29,152.2
2016-03-31,152.9
2016-04-28,153.73
2016-06-01,154.82
2016-06-29,155.78
2016-07-31,156.8
2016-08-31,157.76
2016-10-03,158.67
2016-10-31,159.9
2016-12-01,163.75
2016-12-29,166.69
2016-12-31,166.69
2017-01-31,168.91
2017-03-01,169.02
2017-04-03,172.46
2017-04-30,172.9
2017-05-31,176.39
2017-06-28,178.91
2017-07-31,178.75
2017-08-30,180.89
2017-09-28,184.87
2017-10-31,188.28
2017-12-03,189.53
2017-12-31,195.66
2018-01-31,199.24
2018-02-28,204.89
2018-03-31,209.65
2018-05-02,214.97
2018-06-28,214.25
2018-06-30,214.25
2018-07-31,212.63
2018-08-30,214.67
2018-09-30,210.03
2018-10-31,208.6
2018-11-29,212.37
2018-12-31,214.45
2019-01-31,218.73
2019-02-28,224.78
2019-03-31,227.34
2019-04-30,228.06
2019-05-30,228.2
2019-06-27,230.13
2019-06-30,230.13
2019-07-31,230.86
2019-08-29,236.85
2019-10-01,236.13
2019-11-28,240.18
2020-01-02,243.84
2020-01-30,245.43
2020-02-29,245.43
2020-03-31,246.87
2020-04-30,249.61
2020-05-31,251.17
2020-06-30,251.17
2020-07-29,253.96
2020-08-31,255.14
2020-09-30,256.6
2020-10-28,257.62
2020-11-30,260.35
2020-12-31,263.37
2021-01-31,267.66
2021-02-28,271.41
2021-03-31,268.8
2021-04-28,268.55
2021-05-31,270.3
2021-06-30,273.83
2021-07-29,276.3
2021-08-29,280.08
2021-09-30,279.36
2021-10-31,284.76
2021-11-30,287.04
2021-12-30,294.54
2022-02-28,291.22
2022-03-31,295.23
2022-04-30,298.43
2022-05-31,294.42
2022-06-29,294.71
2022-07-31,298.4
2022-10-31,314.71
2022-11-30,328.38
2022-12-30,340.01
2023-02-28,357.79
2023-03-31,355.8
2023-04-29,366.09
2023-06-02,373.26
2023-06-26,376.76
2023-07-31,379.21
2023-08-31,387.36
2023-09-28,393.95
2023-10-31,412.23
2023-11-30,429.52
2023-12-31,432.68
2024-02-01,443.97
2024-02-29,461.82
2024-03-31,452.35
2024-04-30,447.63
2024-05-31,462.58
2024-06-30,472.5
2024-07-31,486.28
2024-08-31,501.21
2024-09-30,512.8
2024-10-31,519.18
2024-11-30,527.72
2024-12-31,535.42
2025-01-31,546.96
2025-02-28,557.76
2025-04-03,574.81
2025-05-04,584.49
2025-05-31,594.74
2025-06-30,605.59
2025-07-31,617.11
2025-08-31,627.33
2025-09-30,642.58
2025-10-31,660.28
2025-11-22,671.25
2025-11-30,681.29
2025-12-01,681.98
2025-12-02,681.56
2025-12-03,683.09
2025-12-06,683.68
2025-12-07,684.98
2025-12-08,686.63
2025-12-09,687.3
2025-12-10,688.72
2025-12-13,688.9
2025-12-14,689.1
2025-12-16,689.79
2025-12-17,687.89
2025-12-20,686.76
2025-12-24,689.8
2025-12-27,689.55
2025-12-28,691.64
2025-12-29,692.31
2026-01-03,691.3
2026-01-07,692.98
2026-01-10,694.45
2026-01-11,698.08
2026-01-12,698.58
2026-01-13,699.06
2026-01-14,696.54
2026-01-17,696.81
2026-01-18,699.54
2026-01-19,704.82
2026-01-20,708.51
2026-01-21,708.85
2026-01-26,715.68
2026-02-02,716.74
2026-02-03,721.42
2026-02-07,724.71
2026-02-09,728.18
2026-02-10,728.99
2026-02-11,728.26
2026-02-14,730.75
2026-02-16,734.5
2026-02-17,736.38
2026-02-18,738.56
2026-02-21,732.88
2026-02-22,729.32
2026-02-23,734.28
2026-02-24,732.89
2026-02-25,728.87
2026-02-28,729.61
2026-03-01,726.47
2026-03-02,726.62
2026-03-04,725.66
2026-03-07,728.43
2026-03-09,726.73
2026-03-11,731.38
2026-03-14,730.93
2026-03-15,728.63
2026-03-16,725.71
2026-03-17,729.82
2026-03-23,733.15
2026-03-24,734.27
2026-03-25,735.68
2026-03-28,734.1
2026-03-29,732.44
2026-03-30,729.08
2026-03-31,729.59
2026-04-01,734.24
2026-04-04,733.74
2026-04-08,744.61
2026-04-30,764.59
2026-05-31,777.41
2026-06-30,780.48
2026-07-31,796.48798
2026-08-31,813.46
