date,nav
2008-07-06,100.09
2008-07-13,100.0
2008-07-27,100.07
2008-08-03,100.02
2008-08-10,99.03
2008-08-17,97.4
2008-08-24,96.76
2008-08-31,97.83
2008-09-07,98.1
2008-09-14,97.78
2008-09-21,95.29
2008-09-28,94.59
2008-10-07,94.76
2008-10-12,91.3
2008-10-19,91.29
2008-10-26,88.36
2008-11-02,86.84
2008-11-09,88.74
2008-11-16,88.45
2008-11-23,84.79
2008-11-30,85.68
2008-12-07,86.4
2008-12-14,87.31
2008-12-21,88.16
2008-12-28,87.65
2009-01-04,88.65
2009-01-11,89.35
2009-01-18,87.65
2009-01-25,84.11
2009-02-01,85.06
2009-02-08,81.9
2009-02-15,82.71
2009-02-22,82.49
2009-03-01,83.16
2009-03-08,83.16
2009-03-15,83.0
2009-03-22,83.92
2009-03-29,84.98
2009-04-05,85.15
2009-04-12,88.42
2009-04-19,89.69
2009-04-23,89.0
2009-05-03,90.37
2009-05-10,92.56
2009-05-17,93.39
2009-05-24,93.58
2009-05-31,94.35
2009-06-07,97.74
2009-06-14,97.92
2009-06-21,98.47
2009-06-28,90.94
2009-07-05,95.94
2009-07-12,90.93
2009-07-19,93.54
2009-07-26,96.32
2009-08-02,98.93
2009-08-09,103.08
2009-08-16,103.48
2009-08-23,100.72
2009-08-30,105.76
2009-09-06,104.58
2009-09-13,105.58
2009-09-22,107.24
2009-09-27,108.87
2009-10-04,105.78
2009-10-11,103.67
2009-10-18,108.79
2009-10-25,108.95
2009-11-01,107.31
2009-11-08,102.18
2009-11-15,103.98
2009-11-22,99.21
2009-11-29,100.62
2009-12-06,100.23
2009-12-13,97.55
2009-12-20,100.85
2009-12-27,99.34
2010-01-03,97.88
2010-01-10,101.01
2010-01-17,103.58
2010-01-24,105.77
2010-01-31,104.26
2010-02-07,107.6
2010-02-14,107.78
2010-02-21,107.03
2010-02-28,105.67
2010-03-07,106.14
2010-03-14,105.55
2010-03-21,102.74
2010-03-28,104.42
2010-04-06,106.95
2010-04-11,110.8
2010-04-18,113.59
2010-04-26,112.23
2010-05-02,112.63
2010-05-09,109.01
2010-05-16,106.7
2010-05-23,100.22
2010-05-30,99.64
2010-06-06,100.61
2010-06-13,98.4
2010-06-20,100.0
2010-06-27,99.07
2010-07-04,96.06
2010-07-11,94.71
2010-07-25,95.84
2010-08-01,99.07
2010-08-08,99.88
2010-08-15,99.5
2010-08-22,99.93
2010-08-29,100.07
2010-09-05,100.51
2010-09-13,100.8
2010-09-19,100.81
2010-09-26,103.73
2010-10-03,102.85
2010-10-10,105.08
2010-10-17,105.72
2010-10-24,105.35
2010-10-31,104.06
2010-11-07,104.56
2010-11-14,105.43
2010-11-21,106.1
2010-11-28,106.29
2010-12-05,105.39
2010-12-12,107.74
2010-12-19,107.74
2010-12-26,108.27
2011-01-02,109.11
2011-01-10,110.28
2011-01-16,110.62
2011-01-23,105.66
2011-02-10,92.6
2011-04-03,90.01
2011-04-10,91.11
2011-04-17,90.1
2011-04-24,87.42
2011-05-01,88.02
2011-05-08,87.7
2011-05-15,88.11
2011-05-22,89.57
2011-05-29,90.69
2011-06-05,90.09
2011-06-12,91.38
2011-06-19,91.29
2011-06-26,90.31
2011-07-03,89.57
2011-07-10,89.03
2011-07-17,87.2
2011-07-24,87.39
2011-07-31,86.72
2011-08-07,86.87
2011-08-14,82.76
2011-08-21,84.51
2011-09-04,83.17
2011-09-11,84.51
2011-09-18,80.2
2011-09-25,79.54
2011-10-02,77.52
2011-10-09,76.26
2011-10-16,78.37
2011-10-23,79.82
2011-10-30,80.28
2011-11-09,80.91
2011-11-13,80.65
2011-11-20,78.4
2011-11-28,75.37
2011-12-04,78.6
2011-12-11,77.67
2011-12-15,77.56
2011-12-25,74.78
2012-01-01,74.87
2012-01-08,75.06
2012-01-15,76.41
2012-01-22,77.62
2012-01-29,83.77
2012-02-05,85.33
2012-02-12,87.06
2012-02-19,89.85
2012-02-26,91.28
2012-03-01,93.08
2012-03-11,93.86
2012-03-18,91.83
2012-03-25,92.01
2012-04-01,90.34
2012-04-08,88.33
2012-04-15,88.04
2012-04-22,87.86
2012-04-29,90.7
2012-05-06,90.12
2012-05-13,91.6
2012-05-20,89.86
2012-05-27,91.15
2012-06-03,88.65
2012-06-10,86.48
2012-06-17,86.39
2012-06-24,81.77
2012-07-02,89.72
2012-07-08,92.9
2012-07-15,90.55
2012-07-22,91.47
2012-07-29,90.03
2012-08-05,92.24
2012-08-12,92.38
2012-08-19,95.64
2012-08-26,96.7
2012-09-02,98.75
2012-09-09,100.88
2012-09-16,102.67
2012-09-23,105.04
2012-09-30,106.41
2012-10-07,103.39
2012-10-14,104.28
2012-10-21,106.07
2012-10-28,106.19
2012-11-04,103.18
2012-11-11,103.02
2012-11-18,103.39
2012-11-25,101.89
2012-12-02,91.92
2012-12-09,92.18
2012-12-16,97.0
2012-12-23,100.67
2012-12-30,99.98
2013-01-05,113.04
2013-01-12,115.48
2013-01-13,103.62
2013-01-20,101.65
2013-01-27,102.14
2013-02-03,101.37
2013-02-10,103.02
2013-02-17,103.35
2013-02-24,102.0
2013-03-03,100.18
2013-03-10,99.11
2013-03-17,97.48
2013-03-24,97.07
2013-03-31,97.21
2013-04-07,95.97
2013-04-14,99.93
2013-04-21,100.35
2013-04-28,99.94
2013-05-05,100.49
2013-05-12,102.12
2013-05-19,102.86
2013-05-26,101.77
2013-06-02,103.12
2013-06-09,97.49
2013-06-16,90.42
2013-06-23,90.44
2013-07-07,101.55
2013-07-14,101.04
2013-07-21,102.03
2013-07-28,102.35
2013-08-04,106.87
2013-08-12,107.3
2013-08-18,106.5
2013-08-25,105.15
2013-09-01,103.29
2013-09-08,101.55
2013-09-15,105.2
2013-09-22,105.28
2013-09-29,107.39
2013-10-07,107.31
2013-10-13,109.41
2013-10-20,110.22
2013-10-27,111.97
2013-11-03,112.01
2013-11-10,114.83
2013-11-17,112.79
2013-11-24,115.97
2013-12-01,112.2
2013-12-08,113.23
2013-12-15,116.25
2013-12-22,118.16
2013-12-29,117.89
2014-01-05,113.04
2014-01-19,118.48
2014-01-26,119.21
2014-02-02,121.58
2014-02-09,122.68
2014-02-16,124.05
2014-02-23,128.39
2014-03-02,132.45
2014-03-09,130.45
2014-03-16,133.58
2014-03-23,139.10001
2014-03-30,136.32001
2014-04-06,127.22
2014-04-13,130.67999
2014-04-20,135.5
2014-05-04,137.53
2014-05-11,137.35001
2014-05-25,146.85001
2014-06-01,139.92999
2014-06-08,144.62
2014-06-15,148.32001
2014-06-22,142.82001
2014-06-29,139.47
2014-07-06,142.62
2014-07-13,145.36
2014-07-20,147.71001
2014-07-27,147.58
2014-08-03,148.45
2014-08-10,153.17
2014-08-17,156.78
2014-08-24,157.84
2014-08-31,158.32001
2014-09-07,161.47
2014-09-14,157.62
2014-09-21,161.64
2014-09-28,160.94
2014-10-12,159.5
2014-10-19,145.44
2014-10-26,148.78
2014-11-02,154.02
2014-11-09,158.25
2014-11-16,156.21001
2014-11-23,155.87
2014-11-30,156.84
2014-12-07,158.33
2014-12-14,155.11
2014-12-21,142.83
2014-12-28,147.87
2015-01-04,142.96001
2015-01-11,142.00999
2015-01-18,149.06
2015-01-25,154.17
2015-02-01,153.05
2015-02-08,154.23
2015-02-15,151.53
2015-02-22,147.92999
