date,nav
2009-05-03,100.1191
2009-05-10,100.2675
2009-05-17,100.4175
2009-05-24,100.5613
2009-05-31,100.7062
2009-06-07,100.8503
2009-06-14,100.9943
2009-06-21,101.1383
2009-06-28,101.2801
2009-07-05,101.4223
2009-07-12,101.5643
2009-07-19,101.7062
2009-07-26,101.8476
2009-08-02,101.9892
2009-08-09,102.1275
2009-08-16,102.2656
2009-08-23,102.4036
2009-08-30,102.5411
2009-09-06,102.6782
2009-09-13,102.8146
2009-09-22,102.9896
2009-09-27,103.0862
2009-10-04,103.2236
2009-10-11,103.3596
2009-10-18,103.4982
2009-10-25,103.3637
2009-11-01,103.7753
2009-11-08,103.914
2009-11-15,104.0523
2009-11-22,104.1916
2009-11-30,104.3472
2009-12-06,104.471
2009-12-13,104.6117
2009-12-20,104.7523
2009-12-27,104.8935
2010-01-03,105.0363
2010-01-10,105.1813
2010-01-17,105.327
2010-01-24,105.4711
2010-01-31,105.621
2010-02-07,105.7635
2010-02-14,105.9085
2010-02-21,106.0537
2010-02-28,106.1974
2010-03-07,106.344
2010-03-14,106.49
2010-03-21,106.7826
2010-03-28,106.7826
2010-04-06,106.9679
2010-04-11,107.07866
2010-04-18,107.2277
2010-04-26,107.3969
2010-05-02,107.5269
2010-05-09,107.6841
2010-05-16,107.8423
2010-05-23,107.9939
2010-05-30,108.1493
2010-06-06,108.304
2010-06-13,108.4565
2010-06-20,108.6113
2010-06-27,108.7727
2010-07-04,108.9336
2010-07-05,108.956
2010-07-06,108.9785
2010-07-07,109.003
2010-07-08,109.0255
2010-07-12,109.1154
2010-07-13,109.1382
2010-07-15,109.1836
2010-07-19,109.2736
2010-07-20,109.3228
2010-07-22,109.3453
2010-08-04,109.6389
2010-08-08,109.7325
2010-08-09,109.7554
2010-08-15,109.8923
2010-08-22,110.0578
2010-08-29,110.2174
2010-09-05,110.3785
2010-09-13,110.5586
2010-09-19,110.9695
2010-09-26,110.8542
2010-10-03,111.0101
2010-10-10,111.1604
2010-10-17,111.3192
2010-10-24,111.4683
2010-10-31,111.6177
2010-11-07,111.7688
2010-11-14,111.9221
2010-11-21,112.0747
2010-11-28,112.231
2010-12-05,112.3875
2010-12-12,112.5456
2010-12-19,112.7083
2010-12-26,112.8742
2011-01-02,113.0353
2011-01-16,113.3524
2011-01-23,113.5132
2011-03-13,114.5996
2011-03-20,114.7562
2011-03-27,114.9194
2011-04-03,115.0827
2011-04-10,115.2474
2011-04-17,115.414
2011-04-26,115.63
2011-05-02,115.7749
2011-05-08,115.9193
2011-05-15,116.0882
2011-05-22,116.2852
2011-05-29,116.4289
2011-06-05,116.5996
2011-06-12,116.7713
2011-06-19,116.9318
2011-06-26,117.1034
2011-07-03,117.2633
2011-07-10,117.4407
2011-07-17,117.6193
2011-07-25,117.8242
2011-07-31,117.9781
2011-08-07,118.1584
2011-08-14,118.3393
2011-08-21,118.5224
2011-09-04,118.8893
2011-09-15,119.2642
2011-10-09,119.8545
2011-10-16,120.0638
2011-10-23,120.2745
2011-11-20,121.1411
2011-11-28,121.3949
2011-12-01,121.5851
2011-12-11,121.8117
2011-12-18,122.0369
2011-12-25,122.2642
2011-12-31,122.484
2012-01-08,122.7473
2012-01-15,122.9458
2012-01-22,123.1797
2012-01-29,123.4126
2012-02-06,123.6814
2012-02-12,123.8811
2012-02-19,124.1195
2012-02-26,124.3603
2012-03-04,124.6017
2012-03-11,124.8411
2012-03-18,125.0878
2012-03-25,125.3363
2012-04-01,125.5845
2012-04-08,125.8355
2012-04-17,126.1594
2012-04-22,126.3397
2012-04-29,126.5923
2012-05-06,126.8469
2012-05-13,127.1028
2012-05-20,127.3566
2012-05-27,127.614
2012-06-03,127.8726
2012-06-10,128.1316
2012-06-17,128.4285
2012-06-24,128.6527
2012-07-01,128.9502
2012-07-08,129.1745
2012-07-15,129.4364
2012-07-22,129.7003
2012-07-29,129.9659
2012-08-05,130.2434
2012-08-12,130.5166
2012-08-19,130.8663
2012-08-26,131.0612
2012-09-02,131.334
2012-09-09,131.6075
2012-09-15,131.8799
2012-09-23,132.1628
2012-09-30,132.4563
2012-10-07,132.7732
2012-10-14,133.0088
2012-10-21,133.2902
2012-10-29,133.6077
2012-11-04,133.8469
2012-11-11,134.1229
2012-11-18,134.3985
2012-11-25,134.6717
2012-12-02,134.953
2012-12-09,135.2254
2012-12-16,135.496
2012-12-23,135.7673
2012-12-30,136.0593
2013-01-13,136.5911
2013-01-20,136.8572
2013-01-27,137.1257
2013-02-03,137.3936
2013-02-10,137.6589
2013-02-17,137.9289
2013-02-24,138.2002
2013-03-03,138.4679
2013-03-10,138.7363
2013-03-17,139.0069
2013-03-24,139.2724
2013-03-31,139.5374
2013-04-07,139.7981
2013-04-14,140.0572
2013-04-21,140.3195
2013-04-28,140.5807
2013-05-05,140.9184
2013-05-12,141.1038
2013-05-19,141.3653
2013-05-26,141.6273
2013-06-02,141.8902
2013-06-09,142.1505
2013-06-16,142.4156
2013-06-23,142.681
2013-07-07,143.1983
2013-07-14,143.4617
2013-07-21,143.7266
2013-07-28,143.9929
2013-08-04,144.2597
2013-08-11,144.5631
2013-08-25,145.0525
2013-09-01,145.3256
2013-09-08,145.588
2013-09-15,145.8476
2013-09-22,146.1127
2013-09-29,146.3858
2013-10-06,146.684
2013-10-13,146.9011
2013-10-20,147.148
2013-10-27,147.3979
2013-11-03,147.644
2013-11-10,147.8861
2013-11-17,148.1466
2013-11-24,148.3935
2013-12-08,148.8778
2013-12-15,149.1136
2013-12-22,149.3477
2013-12-29,149.5819
2014-01-05,149.8149
2014-01-12,150.0504
2014-01-19,150.2864
2014-01-26,150.5247
2014-02-02,150.764
2014-02-09,150.9987
2014-02-16,151.2357
2014-02-23,151.35222
2014-03-01,151.709
2014-03-09,151.9438
2014-03-16,152.1775
2014-03-23,152.4103
2014-03-30,152.647
2014-04-06,152.8839
2014-04-13,153.1188
2014-05-04,153.8183
2014-05-11,154.0471
2014-05-25,154.5097
2014-06-01,154.7408
2014-06-08,155.002
2014-06-14,155.1984
2014-06-22,155.4279
2014-06-29,155.6562
2014-07-06,155.8845
2014-07-13,156.112
2014-07-20,156.3425
2014-07-27,156.5739
2014-08-03,156.8047
2014-08-10,156.994
2014-08-17,157.2084
2014-08-24,157.4445
2014-08-31,157.6817
2014-09-07,157.919
2014-09-14,158.1458
2014-09-21,158.3823
2014-09-28,158.6187
2014-10-12,159.0913
2014-10-19,159.3277
2014-10-22,158.4498
2014-10-26,159.5582
2014-11-02,159.7932
2014-11-09,160.0318
2014-11-16,160.2711
2014-11-23,160.512
2014-11-30,160.7521
2014-12-07,160.9919
2014-12-14,161.2357
2014-12-21,161.4808
2014-12-28,161.6315
2014-12-31,161.7468
2015-01-04,161.8561
2015-01-11,162.1138
2015-01-18,162.3735
2015-01-25,162.6728
2015-02-01,162.8974
2015-02-08,163.161
2015-02-15,163.423
2015-02-22,163.6854
2015-03-01,163.94165
2015-03-08,163.9465
2015-03-15,164.4713
2015-03-22,164.7334
2015-03-29,164.9959
2015-04-05,165.2588
2015-04-12,165.5965
2015-04-19,165.784
2015-04-26,166.0466
2015-05-03,166.3107
